S.No,Cell_Line,Drug_Name,Pubchem_CID,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm,Labels
16,HCC-78,LMP744,397888,0,1,0,0,0,9,1,0,452.463,3.188,714.464,437.283,137.585,139.596,0,1309.073,2,11.2,0.0077632,0.0221693,0.8100166,41.789,12.807,22.565,15.3,1.449,-2.62,-4.02,-5.998,122.484,-0.978,56.565,-4.762,8.499,1.579,4,-0.368,3,72.802,0,0,126.148,9,0,20,0,20,1,33,0,0.019,Active
17,HCC-78,Dinaciclib,46926350,0,0,0,0,0,7,0,-2,396.491,3.117,676.297,348.201,126.487,201.61,0,1260.243,2,5.7,0.007711,0.0119193,0.8343154,41.712,12.684,19.765,10.578,4.031,-5.297,-5.871,-5.174,625.788,-1.07,298.065,-2.468,8.065,1.115,4,0.602,3,100,0,0,86.727,8,0,21,0,21,5,29,0,0.007,Active
18,HCC-78,Doxorubicin,31703,2,1,0,0,0,11,1,-2,543.526,5.771,779.073,316.14,318.574,144.36,0,1477.479,5,14.8,0.0225397,0.0424784,0.8052566,47.29,16.343,31.881,24.217,-0.451,-2.459,-4.022,-6.098,2.354,-2.976,0.79,-7.889,8.962,1.234,9,-0.6,1,0,0,0,215.688,12,3,24,0,24,9,39,2,0,Active
19,HCC-78,Dactolisib,11977753,1,0,0,0,0,3,0,-1,469.545,8.199,745.457,185.284,136.94,423.233,0,1421.452,0,5.5,0.0472938,0,0.8201578,52.848,15.338,21.74,10.079,5.438,-7.975,-9.232,-6.46,498.081,-0.975,232.899,-2.264,8.647,1.372,2,1.146,1,94.104,0,0,81.113,6,1,29,0,29,0,36,1,0,Active
20,HCC-78,Mitoxantrone,4212,2,2,0,0,0,16,0,-2,444.486,7.886,759.996,328.17,263.535,168.291,0,1372.677,4,9.9,0.0453009,0.0260528,0.7859577,40.114,15.025,25.048,16.566,0.704,-1.39,-2.932,-7.25,1.953,-2.448,0.714,-8.373,8.034,1.459,10,-0.334,1,23.312,0,0,181.492,10,1,14,0,14,0,32,2,0,Active
21,HCC-78,Torin 2,51358113,0,0,0,0,0,2,0,-1,432.404,3.638,654.58,0.545,151.675,406.767,95.594,1217.944,2,5.5,0.0108653,0.0118827,0.8425979,45.189,13.302,22.034,13.032,4.281,-6.217,-7.292,-6.019,361.052,-0.747,549.283,-2.69,8.451,1.322,2,0.743,1,100,95.594,0,79.913,5,0,26,0,26,0,32,1,0.001,Active
22,HCC-78,BMS-754807,24785538,0,0,0,0,0,4,1,-1,461.501,3.886,673.326,297.101,92.733,250.76,32.732,1308.678,3,7.5,0.0115362,0.0192929,0.859333,46.046,13.234,24.055,14.586,3.913,-5.265,-6.512,-5.004,1307.706,-0.434,999.052,-1.961,8.462,0.906,1,0.523,3,100,32.732,0,101.658,10,0,28,3,25,7,34,0,0.027,Active
23,HCC-78,Staurosporine,44259,1,1,0,0,0,2,0,1,466.538,7.986,660.734,308.272,82.019,270.444,0,1282.34,2,6.45,0.0497357,0.0138054,0.8639205,46.464,13.054,22.593,12.548,3.755,-4.393,-6.358,-5.75,412.115,0.109,209.947,-3.949,7.702,0.464,4,0.76,3,95.733,0,0,66.909,7,0,29,0,29,6,35,0,0.002,Active
24,HCC-78,Topotecan,60700,0,1,0,0,0,5,0,-2,421.452,9.956,676.03,346.279,185.325,144.426,0,1238.59,2,10.5,0.0800294,0.0219654,0.8250573,41.583,12.503,23.523,15.758,0.996,-2.889,-3.622,-5.778,43.188,-1.154,18.332,-6.009,8.937,1.578,6,-0.224,2,62.048,0,0,124.278,8,0,21,0,21,3,31,0,0.001,Active
25,HCC-78,Epirubicin,41867,3,1,0,0,0,11,1,-2,543.526,7.265,780.229,314.669,321.387,144.173,0,1477.49,5,14.8,0.0357191,0.0424155,0.8040683,47.289,16.367,32.069,24.238,-0.474,-2.475,-4.022,-6.116,2.214,-3.015,0.739,-7.941,8.954,1.225,9,-0.603,1,0,0,0,215.607,12,3,24,0,24,9,39,2,0,Active
26,HCC-78,Pevonedistat,16720766,0,0,0,0,0,7,1,-2,443.52,9.078,742.241,231.566,203.034,305.276,2.366,1330.549,4,8.7,0.0619318,0.0234425,0.7882076,45.515,15.175,26.751,17.848,2.54,-5.335,-5.455,-6.415,117.634,-2.031,50.427,-3.514,8.306,0.391,4,0.134,3,78.878,0,0,129.746,9,0,23,0,23,8,31,0,0.001,Active
27,HCC-78,Mitomycin-C,5746,0,1,0,0,0,4,2,-2,334.331,2.798,550.258,257.167,282.556,10.536,0,971.042,4.5,9.25,0.0080627,0.03566,0.8618349,30.239,10.355,21.871,17.857,-0.557,-1.688,-1.623,-4.544,5.168,-1.815,1.848,-8.368,8.637,1.379,4,-0.492,2,36.453,0,0,168.954,9,0,13,3,10,5,24,1,0,Active
28,HCC-78,Flavopiridol,5287969,0,1,0,0,0,3,0,1,401.846,5.168,662.699,213.153,157.308,235.151,57.087,1176.964,2,6.7,0.0226892,0.0142979,0.8135003,41.267,12.777,20.867,12.87,2.623,-4.434,-4.612,-6.397,79.624,-0.663,72.964,-5.365,9.07,0.799,5,0.366,3,76.326,0,0,95.974,6,0,22,0,22,5,28,0,0,Active
29,HCC-78,PI-103,9884685,0,0,0,0,0,2,0,0,348.36,1.5,595.111,176.854,97.546,320.711,0,1044.001,1,6.45,0.0021547,0.0108383,0.8363112,37.405,11.07,17.285,11.373,2.846,-4.474,-4.967,-5.71,1177.25,-0.487,590.134,-1.995,8.756,1.227,4,0.124,3,100,0,0,73.974,7,0,25,0,25,4,26,0,0.118,Active
30,HCC-78,Obatoclax Mesylate,11404337,3,0,0,0,0,3,0,1,317.39,4.46,647.221,282.926,34.749,329.546,0,1095.845,2,2.25,0.0181552,0.0049164,0.7942277,38.923,11.396,16.745,8.239,5.112,-6.504,-5.742,-6.433,4638.509,0.015,2597.922,-0.711,7.732,1.864,4,0.914,1,100,0,0,43.192,4,1,19,0,19,0,24,1,0.019,Active
31,HCC-78,Trametinib,11707110,1,0,0,0,0,3,0,-1,615.402,5.825,816.807,346.35,140.401,206.637,123.419,1511.663,1,8.5,0.022447,0.0104064,0.7798577,54.39,15.398,25.132,13.264,4.921,-7.933,-9.457,-6.08,461.824,-0.854,1018.078,-3.091,8.687,1.113,1,0.872,1,90.487,39.817,0,122.913,9,1,25,3,22,3,37,1,0,Active
32,HCC-78,AZD4877,10368812,0,1,0,0,0,10,0,0,503.661,9.971,787.219,341.399,118.519,275.44,51.861,1521.623,2,9,0.065337,0.0161682,0.8127198,50.951,15.898,25.822,13.9,4.13,-4.614,-6.013,-6.602,185.729,-0.71,170.635,-3.836,9.277,1.303,6,0.535,3,78.776,0,0,96.757,7,1,21,0,21,0,36,0,0.002,Active
33,HCC-78,CUDC-101,24756910,1,0,0,0,1,13,1,-2,434.494,9.902,839.514,337.659,168.66,333.195,0,1451.521,3.5,8.2,0.0675503,0.0182734,0.7385035,46.771,16.473,25.711,17.963,3.13,-5.03,-4.96,-5.978,134.993,-2.282,110.164,-2.206,8.269,1.082,5,-0.09,2,83.399,0,33.441,111.648,8,0,16,0,16,0,32,0,0.025,Active
34,HCC-78,Daporinad,6914657,0,0,0,0,0,9,1,-2,391.512,7.356,766.805,290.394,101.243,375.168,0,1360.078,1,7,0.0397824,0.0091288,0.7742047,46.08,14.595,20.837,11.179,4.603,-6.129,-5.128,-6.975,1085.949,-1.105,540.824,-1.2,9.386,0.999,2,0.523,3,100,0,0,76.227,5,0,18,0,18,5,29,1,0.018,Active
35,HCC-78,MG-132,462382,0,0,0,0,2,14,0,-2,475.627,5.236,858.122,497.031,157.755,203.337,0,1628.629,0.75,7.25,0.0168331,0.0073168,0.7801246,51.976,16.164,22.319,11.609,4.384,-5.842,-5.058,-3.311,182.578,-2.008,142.499,-2.366,9.713,0.021,4,0.347,3,93.092,0,29.958,142.599,8,0,6,0,6,0,34,1,0.003,Active
36,HCC-78,Tanespimycin,6505803,3,0,0,0,0,21,1,-2,585.696,7.676,830.9,514.752,249.254,66.894,0,1723.765,4.25,14.35,0.0341814,0.0356039,0.8367611,49.986,17.087,31.12,19.596,2.211,-2.882,-5.579,-4.492,42.877,-3.075,16.442,-3.861,8.767,1.584,13,-0.349,1,43.185,0,0,186.017,11,2,6,0,6,0,42,1,0.106,Active
37,HCC-78,Teniposide,452548,1,0,0,0,0,7,4,-2,656.657,10.337,869.157,420.919,176.962,228.496,42.78,1710.501,3,16.95,0.0624694,0.0337779,0.7958218,59.988,17.884,34.962,24.129,2.004,-5.031,-7.011,-5.926,207.86,-1.616,155.342,-3.304,8.686,0.733,9,-0.337,2,54.249,0,0,165.771,13,2,37,0,37,13,46,1,0.003,Active
38,HCC-78,TW 37,11455910,3,0,0,0,0,11,0,-2,573.703,10.125,934.769,333.82,203.104,397.846,0,1737.624,3,7.75,0.0589964,0.0143601,0.7477639,60.122,19.663,29.786,15.658,5.655,-8.313,-9.056,-7.511,117.454,-2.521,48.864,-2.805,9.217,0.713,7,1.191,1,71.184,0,0,125.266,7,2,24,0,24,0,41,2,0,Active
39,HCC-78,Methotrexate,126941,4,0,0,2,0,11,0,-2,454.444,2.221,767.951,172.842,417.44,177.669,0,1358.866,6.25,11.75,0.0036302,0.0382511,0.7725903,42.861,16.621,30.586,23.916,-1.716,-4.13,-4.531,-2.444,0.07,-4.762,0.026,-7.531,8.421,1.187,5,-0.866,1,0,0,0,233.977,13,2,16,0,16,0,33,1,0,Active
40,HCC-78,Apitolisib,25254071,0,1,0,0,1,6,0,-2,498.602,4.389,805.009,476.074,208.588,105.807,14.54,1483.312,3,13.4,0.012989,0.0288313,0.7813626,50.366,15.124,28.678,22.303,0.409,-3.001,-3.381,-4.926,14.944,-1.642,12.718,-6.478,8.585,1.159,8,-0.541,2,37.401,0,30.187,136.752,11,1,27,0,27,8,35,2,0,Active
41,HCC-78,PD0325901,9826528,1,0,0,0,0,9,1,-2,482.197,7.951,635.487,86.309,176.134,178.652,194.393,1105.197,3,7.1,0.0572045,0.0193514,0.8134884,34.003,11.515,20.93,13.132,2.738,-4.654,-6.747,-5.402,211.653,-1.276,1072.299,-3.272,8.53,0.952,4,-0.17,3,84.603,110.781,0,103.327,6,0,12,0,12,0,26,0,0.006,Active
42,HCC-78,Paclitaxel,36314,8,0,0,0,0,13,4,-2,853.918,11.258,1031.849,334.945,209.729,487.175,0,2252.438,3,17.65,0.0562722,0.0296271,0.8053492,80.294,23.962,42.895,25.854,4.928,-6.17,-10.117,-7.005,101.634,-2.376,41.79,-2.421,9.76,0.439,8,0.614,2,65.805,0,0,232.894,15,2,35,4,28,13,62,2,0.002,Active
43,HCC-78,GNE-317,70676303,0,0,0,0,0,3,0,-1,414.481,2.52,630.489,392.704,123.446,102.17,12.169,1174.886,2,9.45,0.0054065,0.0211967,0.8540529,39.914,11.28,21.189,14.351,2.01,-4.097,-4.676,-4.381,668.747,-0.716,373.372,-3.147,8.631,1.266,5,-0.077,3,89.282,0,0,101.724,9,0,25,4,21,7,29,0,0.024,Active
44,HCC-78,AR-42,6918848,0,0,0,0,0,6,1,-2,312.368,10.125,609.978,148.208,150.855,310.915,0,1057.016,3,6.7,0.0969918,0.0190249,0.8226945,35.264,11.935,20.948,13.998,2.192,-3.988,-3.612,-5.884,367.572,-1.284,167.702,-2.628,9.096,0.521,2,-0.09,3,85.697,0,0,96.186,5,0,12,0,12,0,23,0,0.075,Active
45,HCC-78,Belinostat,6918638,0,0,0,0,0,7,2,-2,318.347,11.167,586.137,23.141,212.038,350.958,0,985.472,3,8.7,0.1265324,0.0257087,0.8170756,32.142,11.931,21.638,16.378,0.672,-2.995,-3.061,-6.166,96.637,-1.976,39.574,-3.519,8.761,1.339,1,-0.585,3,66.408,0,0,115.155,6,0,12,0,12,0,22,0,0.098,Active
46,HCC-78,AT-7519,11175137,1,1,0,0,0,0,0,1,337.851,4.565,595.841,135.205,100.717,288.361,71.557,1051.65,2,3,0.0198122,0.0071204,0.8393614,38.687,11.676,17.966,9.709,3.798,-4.939,-4.759,-6.233,273.971,0.185,333.002,-4.422,8.844,0.18,0,0.808,3,92.812,0,0,46.266,3,0,23,0,23,5,24,0,0,Active
47,HCC-78,Alisertib,24771867,1,0,0,1,0,5,0,-2,518.931,1.541,749.217,154.057,154.254,335.164,105.742,1427.851,2,7,0.0016638,0.0132131,0.8184886,50.979,15.638,24.574,13.61,5.432,-6.914,-8.276,-4.26,86.439,-1.013,169.336,-2.702,8.634,1.105,4,0.721,1,67.496,34.216,0,109.384,8,2,27,0,24,1,37,1,0,Active
48,HCC-78,Lestaurtinib,126565,1,0,0,0,0,3,0,-1,439.47,8.707,614.551,171.13,150.863,292.558,0,1169.831,3,5.7,0.0648017,0.0160649,0.8736867,41.53,12.946,22.452,13.561,3.263,-4.791,-7.049,-4.971,367.508,-0.935,167.67,-2.981,7.824,0.557,5,0.504,3,91.962,0,0,93.973,7,0,28,0,28,5,33,0,0.007,Active
49,HCC-78,AZ20,46244454,0,0,0,0,0,2,1,-1,412.506,5.754,656.929,361.399,98.332,197.198,0,1231.742,1,8.2,0.0268795,0.0124823,0.845914,43.739,11.968,20.688,12.411,3.142,-4.893,-5.117,-4.966,1157.229,-0.473,579.294,-2.445,8.176,0.872,1,0.272,3,100,0,0,81.654,7,0,24,3,21,7,29,0,0.019,Active
50,HCC-78,AZD7762,11152667,0,1,0,0,1,3,0,-1,362.421,10.698,625.36,181.421,175.818,190.654,77.468,1091.212,4,5,0.1048731,0.0159908,0.819673,37.411,11.733,22.755,16.662,1.638,-2.821,-3.309,-4.711,26.591,-0.773,60.958,-5.863,9.291,1.403,2,-0.047,2,62.038,46.833,37.786,114.27,6,0,17,0,17,5,25,0,0.001,Active
51,HCC-78,ZSTK474,11647372,0,0,0,0,0,0,0,0,417.417,6.756,648.421,358.325,34.122,184.514,71.46,1186.31,0,8.9,0.0384723,0,0.8358083,43.084,10.316,19.568,11.558,2.953,-4.156,-4.909,-5.069,4702.407,0.413,6493.948,-1.498,8.964,1.151,3,-0.319,3,100,71.46,0,64.247,9,0,27,0,27,8,30,0,0.925,Active
52,HCC-78,AZD1332,49831044,0,0,0,0,0,7,0,-1,391.835,3.439,616.517,247.667,99.402,166.678,102.771,1129.561,3,5,0.0104681,0.0140471,0.8507983,36.148,11.53,19.265,10.823,3.852,-4.79,-6.018,-4.741,1130.509,-0.522,2064.956,-2.092,8.562,0.427,4,0.317,3,100,35.525,0,88.018,8,0,17,0,17,0,27,0,0.051,Active
53,HCC-78,Podophyllotoxin bromide,234820,0,0,0,0,0,3,3,1,477.308,5.285,588.603,406.944,43.005,90.721,47.934,1148.891,0,6.75,0.0243082,0,0.9012841,38.765,10.314,16.592,8.049,3.495,-3.557,-7.008,-3.562,3873.355,0.147,3913.671,-1.704,9.137,1.101,6,0.02,3,100,0,0,80.237,7,0,22,0,22,6,30,0,2.611,Active
54,HCC-78,IOX2,54685215,0,0,0,1,0,6,0,-2,352.346,10.081,577.187,79.155,177.127,320.906,0,1048.225,1,6.25,0.0969432,0.0108284,0.8646049,35.008,11.745,17.997,10.793,3.061,-4.094,-4.845,-3.446,52.457,-1.378,26.005,-3.077,9.171,1.042,3,-0.142,3,75.649,0,0,131.755,7,0,16,0,16,0,26,0,0.076,Active
55,HCC-78,Temsirolimus,6918289,12,0,0,0,0,35,6,-2,1030.3,10.611,1189.103,966.243,193.378,29.482,0,2817.604,0,20.7,0.0399591,0,0.8113324,84.415,24.053,40.277,16.765,6.292,-2.214,-11.394,-4.725,145.243,-3.504,61.471,-1.619,8.671,0.328,14,-0.226,1,63.611,0,0,238.887,17,3,18,0,18,16,73,1,151.191,Active
56,HCC-78,OSI-027,71496458,1,1,0,0,0,9,1,1,499.614,2.805,892.883,475.926,61.984,354.973,0,1635.983,2,8.75,0.0048077,0.0138589,0.7520089,56.929,17.16,26.296,14.267,5.182,-6.453,-6.031,-7.964,638.271,-0.311,336.871,-2.61,7.887,0.367,5,0.876,1,94.531,0,0,81.372,9,1,21,0,21,0,37,1,0,Active
57,HCC-78,Afatinib,10184653,0,1,0,0,0,8,1,1,485.945,8.515,827.147,379.679,92.085,245.581,109.802,1472.142,2,9.45,0.0492559,0.0161571,0.7566276,49.97,15.239,25.37,14.518,3.956,-5.712,-5.224,-7.367,330.792,-0.323,661.331,-3.646,8.421,1.302,4,0.355,3,95.206,41.304,0,90.146,8,0,21,0,21,4,34,1,0,Active
58,HCC-78,AZD1480,16659841,0,0,0,0,0,5,0,-1,348.77,4.939,625.98,185.49,116.815,208.79,114.884,1057.093,3,6,0.0230788,0.0166017,0.801703,34.934,11.125,19.631,12.681,2.981,-5.079,-4.829,-5.736,772.937,-0.668,1595.085,-2.457,8.204,0.843,5,0.035,3,96.09,47.675,0,95.25,8,0,17,0,17,0,24,0,0.01,Active
59,HCC-78,AZD8186,52913813,0,0,0,0,0,4,0,-1,457.476,7.15,701.379,357.156,108.142,143.891,92.19,1334.536,1,8.7,0.0383068,0.0124041,0.8357939,46.06,11.989,22.281,12.305,3.787,-5.542,-6.073,-4.875,934.095,-0.483,1470.161,-2.622,8.952,0.915,5,0.348,3,100,92.19,0,87.472,7,0,22,0,22,4,33,0,0.003,Active
60,HCC-78,GSK1070916,23582824,1,0,0,0,0,3,0,-2,333.364,3.056,535.371,14.133,179.293,324.486,17.459,954.119,1,5.5,0.009785,0.0102733,0.8754777,33.202,11.064,15.973,10.661,2.203,-3.696,-5.059,-5.094,197.543,-1.134,106.828,-3.393,9.243,1.743,3,0.05,3,80.931,0,0,99.838,5,0,21,0,21,0,24,0,0.027,Active
61,HCC-78,Sabutoclax,46236925,9,0,0,0,0,15,0,-2,700.787,10.498,1038.608,302.592,306.508,429.508,0,2028.435,6,7.5,0.0543315,0.0176883,0.7461409,69.494,23.902,37.773,20.092,6.243,-8.888,-11.801,-7.688,12.282,-4.011,4.257,-4.215,8.219,1.057,12,1.521,1,44.12,0,0,188.335,10,3,32,0,32,0,52,3,0,Active
62,HCC-78,AZD2014,25262792,0,0,0,0,0,2,0,-1,462.55,6.039,765.407,493.826,77.036,194.546,0,1423.501,1,9.9,0.0256222,0.0129343,0.7995475,51.388,13.624,24.032,14.183,3.729,-6.104,-5.783,-5.703,1842.342,-0.36,957.599,-2.062,9.02,1.671,2,0.394,3,100,0,0,92.642,9,0,28,0,28,8,34,1,0.003,Active
63,HCC-78,Cytarabine,6253,0,0,0,0,0,5,0,-2,243.219,7.365,424.315,114.49,243.04,66.785,0,716.171,5,10.8,0.0757424,0.0569142,0.9123354,19.934,8.401,20.692,19.706,-1.914,-1.47,-1.035,-3.269,49.108,-1.685,19.039,-5.283,9.241,0.147,4,-0.859,2,46.009,0,0,138.964,8,0,11,0,11,4,17,0,0.043,Active
64,HCC-78,IMD-0354,5081913,2,0,0,0,0,3,0,1,383.677,7.051,581.253,0.67,84.679,190.192,305.712,981.41,1,2.25,0.0506598,0.0038709,0.8216753,33.012,8.399,15.287,6.114,5.277,-6.883,-6.834,-5.324,1559.17,0.297,10000,-2.122,9.46,0.984,4,0.721,1,100,234.193,0,54.962,3,1,12,0,12,0,25,1,0,Active
65,HCC-78,Serdemetan,11609586,2,0,0,0,0,6,0,-1,328.416,5.576,649.798,64.183,77.864,507.752,0,1115.435,3,3,0.0278715,0.0079966,0.8004779,39.482,13.374,19.365,11.292,4.622,-5.578,-5.684,-7.182,1809.334,-0.608,939.068,-0.59,7.699,0.082,7,0.591,3,100,0,0,50.965,4,0,21,0,21,0,25,1,0.223,Active
66,HCC-78,Irinotecan,60838,1,1,0,0,0,4,0,-2,586.686,12.691,939.087,627.896,176.485,134.706,0,1767.728,1,12.75,0.0911073,0.013577,0.7528976,63.309,17.379,30.852,17.237,3.33,-6.422,-6.033,-6.899,52.384,-1.355,22.586,-5.976,8.998,1.61,4,0.573,1,64.256,0,0,139.594,10,1,33,0,33,13,43,1,0,Active
67,HCC-78,Telomerase Inhibitor IX,10385095,1,0,0,0,0,8,0,-2,380.356,12.647,667.84,0,260.79,407.049,0,1145.339,4,6,0.1396403,0.0179684,0.7927118,38.433,14.483,24.256,15.873,2.114,-4.618,-5.396,-6.827,33.329,-2.685,12.523,-4.124,8.532,0.477,6,0.038,2,53.623,0,0,152.554,8,1,18,0,18,0,28,0,0.001,Active
68,HCC-78,Entinostat,4261,1,0,0,0,0,7,0,-2,376.414,5.36,720.784,85.127,181.368,454.289,0,1238.268,3.5,7.5,0.0232035,0.0194666,0.773695,43.245,15.106,24.081,16.747,2.812,-5.35,-4.86,-7.36,188.792,-1.878,81.616,-2.59,8.347,0.53,7,0.107,2,84.144,0,0,120.098,7,0,18,0,18,0,28,1,0.004,Active
